视频标题,视频作者,网页链接,主题,播放量,点赞量,硬币量,收藏数
它开播前被群嘲，却凭口碑逆袭成开年王炸！,三代鹿人,https://b23.tv/BV1tP4y1C79q,国产原创相关,5151811,351060,120602,53717
翻盘！竟然是谁都想不到的结果！！！,啊吗粽,https://b23.tv/BV1NG4y1j78a,搞笑,4936318,396437,230925,62804
第一次在兄弟面前展示才艺,leomantic,https://b23.tv/BV1ND4y1L7rS,演奏,8159148,1206208,409521,452062
“睡教”,洪某人i,https://b23.tv/BV1YY4y1f7DH,搞笑,7154142,800520,189256,211642
王冰冰的街头实验,央视新闻,https://b23.tv/BV1nM411h7xG,日常,6342427,387824,84240,40100
这是什么离谱的操作啊！！,FoFTG,https://b23.tv/BV19g411W7AU,单机游戏,8736483,773753,121420,232709
新春特供|| 西游宇宙法宝等级的权力深意，天上对人间控制的终极手段,渤海小吏,https://b23.tv/BV1GG4y1y7DL,人文历史,4382375,371348,370178,116461
盲猜B站22年最火的视频，居然有一半没看过？,中国BOY超级大猩猩,https://b23.tv/BV1GY411y7Yt,日常,3974709,294081,81826,41781
《原神》3.4版本PV：「磬弦奏华夜」,原神,https://b23.tv/BV1fR4y127PT,手机游戏,7437799,380603,129569,69216
群青,耀仔爱掀琴,https://b23.tv/BV1q3411m7ZT,演奏,4482310,533545,33350,59929
薯 条 之 王 天 花 板,阿彭彭阿,https://b23.tv/BV1D8411K7eK,美食制作,5062443,397114,180551,46450
相 癌 相 杀,快乐阿依,https://b23.tv/BV1gA411Z75B,鬼畜剧场,2023819,255618,26200,45737
天王老子来了也得加钱,郑童童,https://b23.tv/BV1jD4y1V7fL,搞笑,4532124,485965,123782,61271
瑞典水手如何迎娶阿依土鳖公主？【硬核狠人45】,小约翰可汗,https://b23.tv/BV1uM411h7MN,人文历史,4136586,290714,139366,41004
【引航者试炼】TN-1至TN-4 恢宏试炼 简单好抄,萧然Q,https://b23.tv/BV1YD4y1p7Pd,手机游戏,4111902,108186,85729,24830
松鼠：空投掉脸上了,强哥゜,https://b23.tv/BV1c44y1R77f,动物二创,7964623,572613,21759,102641
一年一度 催婚实录,姚姚不是P30,https://b23.tv/BV1g8411K7Re,搞笑,7399085,435588,7489,20872
《原神》角色演示-「伐难：净水之力」,Lct火红枣,https://b23.tv/BV1PG4y1j7Cb,MMD·3D,3635045,289178,70988,54462
奸商：3千元笔记本卖你5千犯法吗？女生电脑城买笔记本实录,阿狸才不是受,https://b23.tv/BV1yM411F74s,数码,3388798,206160,80706,29773
耗时6个月，我画出了大家期待的石之海结局！（没有刀子！）,天气预报--狂风暴雨,https://b23.tv/BV1cG4y1L7do,综合,1037219,133735,143562,83453
做了个炸蛋，好吃到不行！,小傲想睡觉,https://b23.tv/BV1G3411U7Ux,美食制作,5206917,339048,73799,62659
《未定事件簿》「故城黎明的回响」活动PV：天地盟誓，人间为谁春,未定事件簿,https://b23.tv/BV1Z24y1Y7zP,手机游戏,3541619,224935,121521,72197
梅西C罗亮相春晚节目曝光！,董老厮来了,https://b23.tv/BV1Q24y1e75f,足球,2858828,200728,7296,14433
张主任：青铜局里怎么混进来个王者,胖超说艺考V,https://b23.tv/BV1CK41127rV,音乐教学,7416493,812425,14872,76271
《明日方舟》SideStory「登临意」活动宣传PV,明日方舟,https://b23.tv/BV1ee4y137g3,手机游戏,2417317,117557,40603,18908
【逗鱼时刻】第385期 这旅程，我们一起走过,天天卡牌,https://b23.tv/BV1P24y1Y75B,桌游棋牌,1587030,104672,87267,23511
在课上放我们配的小时代外国同学都看呆了,弗雷达不要拖拉,https://b23.tv/BV1GA411D7Zo,影视杂谈,6775030,564775,137383,165975
百年后，专家看到这幅《奥特出浴图》陷入沉思…,极致画迹,https://b23.tv/BV1g84y1a7Pe,绘画,4134357,121912,1311,28449
22岁的夏天，我攒够了钱，决定出国,185同学,https://b23.tv/BV1rA411f7Bo,日常,2509257,140323,61370,36209
回忆杀！300秒带你看完中国百年婚服的演变，看完想结婚吗?,老八捌,https://b23.tv/BV1G24y1i74U,穿搭,1725853,69992,18458,19810
哈士奇到底有多贱,沈肉肉是个二哈,https://b23.tv/BV1C3411m7EH,汪星人,7359862,600254,32504,104813
关于流行音乐的深度研究：华语音乐已经完蛋了吗？,小凡今天出片了吗,https://b23.tv/BV1m8411P7v7,科学科普,6707805,680321,664323,351403
