年份,cid
2019,82142406
2019,82681291
2019,81577663
2019,82579802
2019,81965902
2019,82850118
2019,82342112
2019,82235716
2019,82536177
2019,78868295
2019,83471931
2019,83640254
2019,83927541
2019,84242529
2019,83933747
2019,83719718
2019,83442568
2019,83337831
2019,83443650
2019,84017748
2019,84392116
2019,83429791
2019,84252699
2019,83396791
2019,84087394
2019,85668198
2019,85243779
2019,84631475
2019,85496423
2019,85602013
2019,517786039
2019,85738601
2019,85723703
2019,84476924
2019,85605834
2019,84891041
2019,84597412
2019,85584748
2019,86634941
2019,86675315
2019,86483572
2019,85934757
2019,86742174
2019,85938205
2019,86719133
2019,86520099
2019,86290623
2019,86584634
2019,85674341
2019,86743612
2019,137610959
2019,86431513
2019,87778055
2019,87705364
2019,88131698
2019,87125849
2019,87754083
2019,87608888
2019,87117489
2019,87904072
2019,87336738
2019,87035720
2019,87722266
2019,87123224
2019,87746888
2019,88974387
2019,89300678
2019,88079872
2019,88691181
2019,89214521
2019,88016124
2019,88537669
2019,88652362
2019,88523622
2019,88240293
2019,88763707
2019,89082287
2019,89340510
2019,89992946
2019,90433549
2019,89547533
2019,90745104
2019,89227138
2019,89095415
2019,89835625
2019,90203622
2019,89591061
2019,89626800
2019,90430254
2019,89376077
2019,365220412
2019,91388645
2019,91774933
2019,90889432
2019,91066597
2019,90900953
2019,91987720
2019,91308672
2019,92066272
2019,91895316
2019,91679926
2019,91058639
2019,91310588
2019,93273627
2019,92328539
2019,92717372
2019,92800991
2019,91974333
2019,92571424
2019,92076236
2019,92247649
2019,91585737
2019,92290160
2019,92861810
2019,92323390
2019,191492670
2019,92474093
2019,93770028
2019,93336713
2019,94079387
2019,94551902
2019,93937775
2019,93485373
2019,94190466
2019,93481222
2019,93886447
2019,94437966
2019,93235572
2019,94016947
2019,93656810
2019,95250145
2019,94546906
2019,95688383
2019,95419440
2019,142665668
2019,96842505
2019,94689143
2019,95101098
2019,94726514
2019,95363252
2019,95413453
2019,95034000
2019,95521775
2019,95376487
2019,860058267
2019,96815308
2019,96800745
2019,95657176
2019,96939358
2019,96188333
2019,96121997
2019,96556056
2019,95837197
2019,96400995
2019,96415264
2019,97160161
2019,97146718
2019,97427831
2019,97960715
2019,97244372
2019,96632254
2019,97902620
2019,98123103
2019,97939268
2019,97509585
2019,97781767
2019,97780797
2019,99753609
2019,98194601
2019,99153305
2019,98975152
2019,99192162
2019,98169961
2019,99099991
2019,98923618
2019,98698440
2019,98558703
2019,99540474
2019,98248346
2019,98253184
2019,100545017
2019,100359518
2019,100764377
2019,100006985
2019,99785296
2019,99901181
2019,100035856
2019,100405004
2019,100549029
2019,100036616
2019,100652250
2019,101226166
2019,101878202
2019,101446157
2019,101842291
2019,101817939
2019,101414286
2019,102290151
2019,101444052
2019,101625951
2019,102122410
2019,101369454
2019,102409127
2019,101491212
2019,101446157
2019,102332046
2019,102798902
2019,102436144
2019,103715531
2019,103362072
2019,102146795
2019,103331583
2019,103420062
2019,103758468
2019,103521814
2019,102699088
2019,103258563
2019,105324155
2019,104560864
2019,104088337
2019,103705135
2019,105416370
2019,104461557
2019,104383664
2019,105181361
2019,104381920
2019,104537358
2019,104280682
2019,104454311
2019,106369909
2019,106533881
2019,106843583
2019,106015992
2019,106927925
2019,107083637
2019,106380838
2019,106641093
2019,106872601
2019,106178943
2019,106892861
2019,105573701
2019,106134507
2019,107835490
2019,108626746
2019,108512185
2019,108096438
2019,108347339
2019,108117893
2019,108855967
2019,108705432
2019,107608583
2019,108637458
2019,108223517
2019,108220908
2019,107623335
2019,109433074
2019,109835390
2019,109436096
2019,109361473
2019,110381387
2019,110474926
2019,110172247
2019,109573035
2019,110628088
2019,148314482
2019,109640759
2019,109300712
2019,111793661
2019,111493493
2019,112366059
2019,112246473
2019,112229989
2019,112404701
2019,119004178
2019,111129612
2019,112602997
2019,110971082
2019,111427553
2019,111905514
2019,112224342
2019,110261186
2019,113320548
2019,113966432
2019,111447796
2019,112173267
2019,113834826
2019,113513067
2019,114002446
2019,112564654
2019,113548097
2019,114059453
2019,113912584
2019,112737445
2019,114070732
2019,112496652
2019,112663850
2019,113262673
2019,113457466
2019,114634013
2019,115357967
2019,114887583
